ORDER_TYPE_CODE,ORDER_TYPE_DESC,SALES_ORG_CODE,SALES_ORG_DESC,DIST_CHANNEL_CODE,DIST_CHANNEL_DESC
ZE30,S.Agr.- 3rd party Sh,3100,United States,01,Distribtn Channel 01
ZGSR,Global Std Return,3330,CVS Mexico,01,Sales
ZRE,Molex  Return wo ref,8160,SDP Telecom,01,Sales
ZAZU,Con.P/U extagt.-U.S.,2400,Hong Kong/China Ltd,01,Sales
ZXSO,Free replace order,2800,China Trading Co.,01,Sales
ZRI,vmi nonsales return,2800,China Trading Co.,01,Distribtn Channel 01
ZCMX,InterCo Credit Memo,2700,China 4 - ChengDu,01,Distribtn Channel 01
ZDRK,Poland Corr. Debit,5900,Molex Sp. Z o o.,01,Sales
ZE01,EDI Std Order 01,3330,CVS Mexico,01,Sales
ZICP,Int Consign Pick-up,2200,Korea,01,Sales
ZGQP,Global Quotation,5700,Bretten,01,Distribtn Channel 01
ZGIR,Global Invt Return,1400,Malaysia,01,Sales
ZE20,S.Agr.-direct ship,3100,United States,01,Distribtn Channel 01
ZXSR,Return free of charg,1500,Thailand,01,Sales
ZRI,vmi nonsales return,1100,Japan,01,Sales
ZCMR,Credit Memo Request,5500,Ettlingen,01,Sales
ZPDM,Proj Debit Memo Req,5100,MIGMBH,01,Distribtn Channel 01
ZICP,Int Consign Pick-up,1000,Dalian,01,Sales
ZRI,vmi nonsales return,1300,Taiwan,01,Sales
ZRE,Molex  Return wo ref,2900,Molex Philippines,01,Sales
ZAZU,Con.P/U extagt.-U.S.,6200,Ireland,01,Distribtn Channel 01
ZPCM,Proj Credit Memo Req,5100,MIGMBH,01,Distribtn Channel 01
ZCMR,Credit Memo Request,3800,US Temp-Flex,01,Distribtn Channel 01
ZGQP,Global Quotation,8000,Zetronic S.r.l.,01,Distribtn Channel 01
ZGTP,Global 3rd party ord,2700,China 4 - ChengDu,01,Sales
ZE20,S.Agr.-direct ship,5100,MIGMBH,01,Distribtn Channel 01
ZE20,S.Agr.-direct ship,5100,MIGMBH,01,Sales
ZECP,Ext Consign Pick-up,7800,Woodhead France WIC,01,Sales
ZE20,S.Agr.-direct ship,5100,Molex Interconnect,01,Sales
ZICI,Int Consign Iss. imm,3100,United States,01,Sales
ZXSR,Return free of charg,2200,Korea,01,Sales
ZGSE,Global Slow & Excess,6100,Molex CES Poland,01,Distribtn Channel 01
B2,Rebate Correctn Rqst,4000,Woodhead Canada,01,Distribtn Channel 01
ZGRE,Drp Cred (Dumy Dely),2200,Korea,01,Distribtn Channel 01
ZGSE,Global Slow & Excess,6200,Ireland,01,Distribtn Channel 01
ZECR,Ext Consign Returns,1700,China 1I - Dongguan,01,Sales
ZSDR,Serv Debit Request,4000,Molex Canada Ltd.,01,Distribtn Channel 01
ZPSC,Proj Serv Credit Req,2800,China Trading Co.,01,Distribtn Channel 01
ZPSC,Proj Serv Credit Req,2800,China Trading Co.,01,Sales
ZPDM,Proj Debit Memo Req,5100,Molex Interconnect,01,Distribtn Channel 01
ZGSE,Global Slow & Excess,6100,Molex CES Poland,01,Sales
ZGS1,Sample Order Oplink,5100,MIGMBH,01,Sales
ZSP,Sample Order,4000,Woodhead Canada,01,Sales
ZECF,Ext Consign Fill-up,1700,China 1I - Dongguan,01,Sales
ZE01,EDI Std Order 01,1200,Singapore,01,Sales
ZGSO,Global Std Order,5100,Molex Interconnect,01,Distribtn Channel 01
ZGSS,Global Sample Order,1200,Singapore,01,Distribtn Channel 01
ZGSS,Global Sample Order,1700,China 1I - Dongguan,01,Sales
ZECI,Ext Consign Issue,1200,Singapore,01,Sales
ZICI,Int Consign Iss. imm,1200,Singapore,01,Distribtn Channel 01
ZGSR,Global Std Return,1100,Japan,01,Sales
ZGOT,Molex Scrap Sales,1200,Singapore,01,Sales
ZVDR,Vendor Return,1100,Japan,01,Distribtn Channel 01
ZCMR,Credit Memo Request,2400,Hong Kong,01,Distribtn Channel 01
ZGSS,Global Sample Order,3100,United States,01,Sales
ZECI,Ext Consign Issue,5100,Molex Interconnect,01,Sales
ZE01,EDI Std Order 01,6830,Molex Cables Italy,01,Distribtn Channel 01
ZCMR,Credit Memo Request,3100,United States,01,Sales
ZDMR,Debit Memo Request,5100,Molex Interconnect,01,Sales
ZGSR,Global Std Return,8110,Molex (China) Invst.,01,Sales
ZGSS,Global Sample Order,3100,United States,01,Distribtn Channel 01
ZECD,Drop Consign Fill-up,3100,United States,01,Distribtn Channel 01
ZECD,Drop Consign Fill-up,3100,United States,01,Sales
ZCMR,Credit Memo Request,2800,China Trading Co.,01,Sales
TAV,Standard Order (VMI),5100,MIGMBH,01,Sales
ZE01,EDI Std Order 01,4000,Molex Canada Ltd.,01,Distribtn Channel 01
ZE12,S.Agr.- w/ATP,2800,China Trading Co.,01,Sales
ZGSO,Global Std Order,8140,Oplink ZhuHai,01,Distribtn Channel 01
ZGSS,Global Sample Order,2700,China 4 - ChengDu,01,Distribtn Channel 01
ZOR,Molex Standard Order,3100,United States,01,Sales
ZGSO,Global Std Order,6830,Molex Cables Italy,01,Sales
ZGTG,Global 3rd pty gold,3100,United States,01,Distribtn Channel 01
ZGSO,Global Std Order,5900,Molex Sp. Z o o.,01,Distribtn Channel 01
ZGQV,DM Global Quotation,2800,China Trading Co.,01,Distribtn Channel 01
ZECD,Drop Consign Fill-up,2800,China Trading Co.,01,Distribtn Channel 01
Z11R,ze11 into Cons Rtns,2400,Hong Kong,01,Distribtn Channel 01
ZGPM,Molex Scrap Pre.Mtl,3100,United States,01,Distribtn Channel 01
ZGQP,Global Quotation,1500,Thailand,01,Distribtn Channel 01
Z11R,ze11 into Cons Rtns,2200,Korea,01,Distribtn Channel 01
ZICF,Int Consign Fill-up,2200,Korea,01,Sales
ZGSR,Global Std Return,2100,CFPA-Taiwan,01,Distribtn Channel 01
ZGQS,Sys. Sales Quote,1700,China 1I - Dongguan,01,Sales
ZGHK,HK/SHG Std Order,3560,Interconnect Systems,01,Distribtn Channel 01
ZSCR,Serv Credit Request,3560,Interconnect Systems,01,Sales
ZGSS,Global Sample Order,4000,Molex Canada Ltd.,01,Distribtn Channel 01
ZECF,Ext Consign Fill-up,1400,Malaysia,01,Sales
ZDEP,India Depot Sales,8200,India - Bangalore,01,Sales
ZGPS,Global Project Order,8520,PMC Suzhou PMMC,01,Sales
ZGPM,Molex Scrap Pre.Mtl,6200,Ireland,01,Sales
ZICF,Int Consign Fill-up,5100,Molex Interconnect,01,Distribtn Channel 01
ZPSC,Proj Serv Credit Req,5100,Molex Interconnect,01,Sales
ZGQP,Global Quotation,1600,China 1- Dongguan,01,Sales
ZE01,EDI Std Order 01,1500,Thailand,01,Distribtn Channel 01
ZGQV,DM Global Quotation,2100,CFPA-Taiwan,01,Sales
ZCMR,Credit Memo Request,8110,Molex (China) Invst.,01,Distribtn Channel 01
ZGQP,Global Quotation,5100,MIGMBH,01,Sales
ZGQP,Global Quotation,5100,Molex Interconnect,01,Distribtn Channel 01
ZDEP,India Depot Sales,8200,India - Bangalore,01,Distribtn Channel 01
LZM,SchedAgrt w/Dly Ord.,5100,MIGMBH,01,Sales
KL,Deliv.Free of Charge,3100,United States,01,Distribtn Channel 01
ZCCI,InterCo S&D Cr Memo,5900,Molex Sp. Z o o.,01,Sales
ZGSO,Global Std Order,2200,Korea,01,Sales
ZSED,Del.by ExtAgt.- U.S.,5100,MIGMBH,01,Sales
ZGSS,Global Sample Order,1700,China 1I - Dongguan,01,Distribtn Channel 01
ZDMR,Debit Memo Request,1200,Singapore,01,Distribtn Channel 01
ZDMR,Debit Memo Request,4000,Molex Canada Ltd.,01,Distribtn Channel 01
ZGSS,Global Sample Order,1400,Malaysia,01,Sales
ZSF,Sales Force Order,2400,Hong Kong/China Ltd,01,Sales
ZPRD,DM P.O.T. Br-DC,3100,United States,01,Distribtn Channel 01
ZE12,S.Agr.- w/ATP,3100,United States,01,Sales
ZGPM,Molex Scrap Pre.Mtl,1200,Singapore,01,Sales
ZCRK,Poland Corr. Credit,5900,Molex Sp. Z o o.,01,Sales
ZOR,Molex Standard Order,3100,United States,01,Distribtn Channel 01
ZSDR,Serv Debit Request,2400,Hong Kong,01,Sales
ZISR,India  Return w/ex,8200,India - Bangalore,01,Sales
ZCMR,Credit Memo Request,4000,Woodhead Canada,01,Distribtn Channel 01
ZGIT,Global Invt Transfer,2700,China 4 - ChengDu,01,Sales
TAM,Delivery Order,5100,MIGMBH,01,Distribtn Channel 01
ZE13,S.Agr.ExAg.- w/ATP,3100,United States,01,Sales
ZGSO,Global Std Order,2100,CFPA-Taiwan,01,Sales
ZGOT,Molex Scrap Sales,1300,Taiwan,01,Distribtn Channel 01
ZE01,EDI Std Order 01,5900,Molex Sp. Z o o.,01,Sales
ZE12,S.Agr.- w/ATP,2400,Hong Kong,01,Sales
ZGQP,Global Quotation,5600,Biberach,01,Sales
ZRE,Molex  Return wo ref,2200,Korea,01,Sales
ZGPS,Global Project Order,8520,PMC Suzhou PMMC,01,Distribtn Channel 01
ZE15,S.Agr.Planning -Auto,2400,Hong Kong,01,Distribtn Channel 01
ZGTT,Tool Ord Yrly Bill,1000,Dalian,01,Distribtn Channel 01
ZCMI,Pl Corr. Cred interc,5900,Molex Sp. Z o o.,01,Distribtn Channel 01
ZGQP,Global Quotation,1000,Dalian,01,Sales
ZGQP,Global Quotation,3200,Brasil,01,Sales
ZCMR,Credit Memo Request,6200,Ireland,01,Sales
ZIQR,InterCompany Quote,2400,Hong Kong/China Ltd,01,Distribtn Channel 01
ZIQR,InterCompany Quote,1200,Singapore,01,Sales
TA,Standard Order,8800,India Tooling,01,Distribtn Channel 01
ZECP,Ext Consign Pick-up,1100,Japan,01,Distribtn Channel 01
ZGSO,Global Std Order,2300,RF/Micro - Jiangsu,01,Sales
ZE14,S.Agr.EXt/ATP / JIT,1400,Malaysia,01,Distribtn Channel 01
ZGSR,Global Std Return,2900,Molex Philippines,01,Sales
ZCMI,Pl Corr. Cred interc,5900,Molex Sp. Z o o.,01,Sales
ZPGR,Proj Global Std Ret,3100,United States,01,Distribtn Channel 01
ZE01,EDI Std Order 01,6880,Molex HDC Italy,01,Sales
