material_number,material_desc_raw,product_family,product_group,product_family_sort,product_group_sort,length_m,rule_notes
000000000798550694,IC MCU 32BIT 512KB FLASH 64WLCSP,Unclassified,Other,999.0,999.0,,
000000000798704666,FERRITE BEAD 33 OHM@100MHZ 25% 1.7A 0402,Unclassified,Other,999.0,999.0,,
000000000853350014,SC/SC DPX AD METAL PBSLV NO THREAD,Unclassified,Other_Connector_Types,999.0,40.0,,
000000000853350016,SC-SC DUPLEX ADAPTER MX 853350016,Adapters,Other_Connector_Types,30.0,40.0,,
000000000854912710,LC(s)/UPC 9/125 12F BOPT 25M,Unclassified,LC_Variants,999.0,32.0,,
000000000854912712,LC(s)/UPC 9/125 12F BOPT 50M,Unclassified,LC_Variants,999.0,32.0,,
000000000854919581,kit 5-5- cable X-tower,Accessories,Other,85.0,999.0,,
000000000854919582,kit 5-5- cable Y-tower,Accessories,Other,85.0,999.0,,
000000000854919583,kit 5-5- external cable,Accessories,Other,85.0,999.0,,
000000000854919584,ASSY CBL BASE FIBER TOWER X        ,Unclassified,Other,999.0,999.0,,
000000000860000039,NRE CHARGE,Unclassified,Other,999.0,999.0,,
000000000860240011,LC CRIMP TUBING  3MM CABLE,Unclassified,LC_Variants,999.0,32.0,,
000000000860242006,"LC HOUSING, GREEN (SM)",Accessories,LC_Variants,85.0,32.0,,
000000000860252831,"LC CONNECTOR HEAD, SM 125.5, BLUE",Unclassified,LC_Variants,999.0,32.0,,
000000000860252832,LC CONNECTOR HEAD  MM  BEIGE,Unclassified,LC_Variants,999.0,32.0,,
000000000860252861,"LC DUPLEX CLIP W/LATCH- LOOPBACK, BLUE",Loopback_Group,LC_Variants,40.0,30.0,,
000000000860252864,"LC DUPLEX CLIP - LOOPBACK, BLUE",Loopback_Group,LC_Variants,40.0,30.0,,
000000000860253010,LC CONN HEAD FOR DUPLEX 127 3.0CON,Unclassified,LC_Variants,999.0,32.0,,
000000000860262001,"LC HOUSING, GREEN (APC)",Accessories,LC_Variants,85.0,32.0,,
000000000860262005,WASHER,Unclassified,Other,999.0,999.0,,
000000000860262501,"LC EXTENDER CAP,BARE FIBER,GREEN,SM",Unclassified,LC_Variants,999.0,32.0,,
000000000860452008,"NUT, Stainless Steel",Unclassified,Other,999.0,999.0,,
000000000860452020,DUST CAP (W/TAIL) GRAY,Accessories,Other,85.0,999.0,,
000000000860590012,LC BOTTOM CLIP  INDUSTRIAL LC,Unclassified,LC_Variants,999.0,32.0,,
000000000860633021,"TUBING, Epoxy filling, SC Conn",Unclassified,Other_Connector_Types,999.0,40.0,,
