rule_name,pattern,product_group,priority
group_mpo_core,"\bMPO(?:[-\s]?(?:MPO|PRO|[0-9]{2}(?:F)?))?\b",MPO_Group,10
group_mpo_wide,"\bMPO(?:-MPO)?\b|MPO[ -]?PRO|MPO\d{0,2}\b",MPO_Group,10
group_mpo_any2,\bMPO(?:-MPO)?\b|MPO[ -]?PRO,MPO_Group,10
group_mtp_any2,\bMTP(?:\((?:F|M)\))?\b|MTP[ -]?PRO,MTP_Group,11
group_mtp_core,"\bMTP(?:\((?:F|M)\))?(?:\s*PRO)?\b",MTP_Group,11
group_mtp_numeric,\bMTP\d+\b,MTP_Group,11
group_mtp_wide,"\bMTP(?:\((?:F|M)\))?\b|MTP[ -]?PRO|MTP\d{1,2}\((?:F|M)\)",MTP_Group,11
group_mtp_any,\bMTP(?:\d+)?(?:\([FM]\))?\b,MTP_Group,11
group_mmc_core,(?<![A-Z0-9])MMC(?![A-Z0-9]),MMC_Group,12
group_mmc_core,"\bMMC(?:\((?:F|M)\))?\b",MMC_Group,12
group_mxc,"\bMXC\b",Other_MultiFiber,15
group_dmx,"\bDMX\b",Other_MultiFiber,15
group_mb_series,"\bMB(?:\(\d+\))?\b",Other_MultiFiber,16
group_mp_hyphen,"\bMP-\b",Other_MultiFiber,16
group_ebo_ebx,"\bEB[OX]\b",EBO_Group,20
group_ebo_core,(?<![A-Z0-9])EBO(?![A-Z0-9])|EBX,EBO_Group,20
group_optical_module_strong,\b(EDFA|OADM|ROADM|WSS|DWDM|SWDM|MUX)\b,Optical_Module,25
group_optical_passives_strong,\b(PLC|LPTC|SWFC|UWFC|COUPLER|SPLITTER|1X2|50/50|30/70)\b,Optical_Passives,26
group_lc_pair,"\bLC\s*[-/]\s*LC(?:D)?\b",LC_Variants,30
group_lc_dpx,"\bLC[-\s]?(?:DU?P(?:LEX|X)?|DPX|DP)\b",LC_Variants,30
group_lc_quad,"\bLC\s*QUAD\b",LC_Variants,30
group_lc_apc,"\bLC(?:\s*[-/])?APC\b",LC_Variants,30
group_lc_upc,"\bLC(?:\s*[-/])?UPC\b",LC_Variants,30
group_components_hw,"(?<![A-Z])(SCR(?:EW)?|NUT|STANDOFF|WASHER|INSERT|NYLOK|BRACKET|PLATE|CLIP)(?![A-Z])",Components_Passive,30
group_lc_variants_more,\bLC(?:[-/ ]?(?:UPC|APC|PC|DPX?|D|QUAD|DUP|U|2\+?))?\b|LCD\b|LC-LC\b|LCD-LCD\b,LC_Variants,30
group_lc_spc,\bLC/ ?SPC\b,LC_Variants,30
group_lc_wide,\bLC(?:[-/ ]?(?:UPC|APC|PC|DPX?|D|QUAD|DUP|U|2\+?))?\b|\bLCD\b|LC[-/ ]LC|LCD[-/ ]LCD,LC_Variants,30
group_adapter_strong,\b(ADAPT(?:ER|OR|R)?|RECEPTACLE|DUST ?CAP|SHIELD ASSEMBLY|MOUNTING PLATE)\b,Accessories,31
group_lc_lcd,"\bLCD\b",LC_Variants,31
group_lc_lcu,"\b(?:LCU|CONN[-\s]?LCU)\b",LC_Variants,31
group_lc_amp,"\bLC[-\s]?AMP\b",LC_Variants,31
group_lc_miscx,"\bX-?LC(?:D{1,2})?\b",LC_Variants,31
group_lc_generic,"\bLC(?![A-Z0-9])\b",LC_Variants,32
group_lc_clean,\bLC([-/\s]|$),LC_Variants,32
group_adapters_core,"(?<![A-Z])(ADAPT(?:ER|OR|R)?|RECEPTACLE|DUST ?CAP|MOUNTING PLATE|SHIELD ASSEMBLY)(?![A-Z])",Other_Connector_Types,34
group_lc_variants_cords,"(?=.*\bLC(?:D|U|UNI)?\b)(?=.*\b(JPR|JUMPER|PATCH|PCORD|CBL|CABLE)\b)",LC_Variants,35
